%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1450008891373056473,723,1450008891162589637,/world,trajectory,740,1,0,0.00129963837244,0.0384257491392,-0.00403121074863,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008891373160254,724,1450008891242476700,/world,trajectory,741,1,0,0.00126855885642,0.0384283180898,-0.00414005346896,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008891373347727,725,1450008891343367475,/world,trajectory,742,1,0,0.00129470741997,0.0384308680286,-0.00417253562501,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008891460004052,726,1450008891456794375,/world,trajectory,743,1,0,0.0012927735987,0.0384449586716,-0.00414322034311,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008891637171682,727,1450008891636902174,/world,trajectory,744,1,0,0.00130291645762,0.0384614034476,-0.00415183967771,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008891793546349,728,1450008891793484004,/world,trajectory,745,1,0,0.00135518788219,0.0384177018724,-0.00413598794986,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008891885864156,729,1450008891885367769,/world,trajectory,746,1,0,0.00140595613935,0.0384370629163,-0.00408318313538,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008891966612891,730,1450008891960830533,/world,trajectory,747,1,0,0.00133213093987,0.0384784297825,-0.00413752321586,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892068876295,731,1450008892066302963,/world,trajectory,748,1,0,0.00134052017808,0.0384697458997,-0.00412892978581,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892208846481,732,1450008892208477520,/world,trajectory,749,1,0,0.00130046128047,0.0384815774287,-0.00399845763554,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892312766665,733,1450008892312410886,/world,trajectory,750,1,0,0.00134798691003,0.0384482615458,-0.00406871783954,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892406280927,734,1450008892405678621,/world,trajectory,751,1,0,0.00125772250062,0.0384975576002,-0.00401464803972,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892505802020,735,1450008892505595425,/world,trajectory,752,1,0,0.00132199394946,0.0384752968434,-0.00417886928262,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892628288658,736,1450008892626245331,/world,trajectory,753,1,0,0.00133272344684,0.0384789205102,-0.0041860613391,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892760000049,737,1450008892759715889,/world,trajectory,754,1,0,0.00135951307783,0.0383959153196,-0.00419682301726,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892859001830,738,1450008892858015224,/world,trajectory,755,1,0,0.00131032302218,0.0384419625253,-0.0040588801477,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008892993282338,739,1450008892992183361,/world,trajectory,756,1,0,0.00131772714868,0.0384287395367,-0.00421304763553,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008893184340906,740,1450008893184269332,/world,trajectory,757,1,0,0.00123350811082,0.0384718548632,-0.00404695681356,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008893379351748,741,1450008893378981480,/world,trajectory,758,1,0,0.00121788097117,0.0385236823517,-0.00396190300212,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008893503161530,742,1450008893502939331,/world,trajectory,759,1,0,0.00123332991358,0.0384551041278,-0.00403435786009,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008893675985054,743,1450008893675569800,/world,trajectory,760,1,0,0.00123332991358,0.0384551041278,-0.00403435786009,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008893904135723,744,1450008893903870579,/world,trajectory,761,1,0,0.00126982846058,0.0384774450797,-0.00417182859017,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008894046289667,745,1450008894045777184,/world,trajectory,762,1,0,0.00126884061405,0.0384787892193,-0.00419981447711,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008894159956848,746,1450008894158082232,/world,trajectory,763,1,0,0.00126609952892,0.0385240181474,-0.0042908832046,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008894326902615,747,1450008894323210867,/world,trajectory,764,1,0,0.00126206172041,0.0385625265492,-0.00419961574367,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008894503744327,748,1450008894503509272,/world,trajectory,765,1,0,0.00127603925599,0.0385670706203,-0.00424325797181,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008894729446902,749,1450008894728762545,/world,trajectory,766,1,0,0.0012554432232,0.0385015490478,-0.00408808381817,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008895006791380,750,1450008895006038258,/world,trajectory,767,1,0,0.00137205854736,0.0385233341432,-0.00407852368268,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008895578633444,751,1450008895578396790,/world,trajectory,768,1,0,0.0013377148875,0.0385017452008,-0.00406208354207,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008895937574131,752,1450008895936851650,/world,trajectory,769,1,0,0.00140606581436,0.0385304626836,-0.00415559028778,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008896203994672,753,1450008896203911987,/world,trajectory,770,1,0,0.00143411024328,0.0385417058331,-0.00417045582333,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008896629424534,754,1450008896629268114,/world,trajectory,771,1,0,0.00141347624663,0.0385000870262,-0.00428731282721,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008896799766107,755,1450008896795746323,/world,trajectory,772,1,0,0.00131282641214,0.0384874514895,-0.00408322979478,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008897253179774,756,1450008897252583934,/world,trajectory,773,1,0,0.00137477577213,0.0384763237691,-0.0041614050302,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008897947032434,757,1450008897946592421,/world,trajectory,774,1,0,0.00136862179303,0.0385037578765,-0.00399668996911,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008898630078030,758,1450008898629894444,/world,trajectory,775,1,0,0.00134590773951,0.0385267756541,-0.00411044405619,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008899902376865,759,1450008899901825432,/world,trajectory,776,1,0,0.00134590773951,0.0385267756541,-0.00411044405619,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008902923930305,760,1450008902922950433,/world,trajectory,777,1,0,0.0013378722284,0.0385958383212,-0.00417152465023,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008908787213813,761,1450008908786426363,/world,trajectory,778,1,0,0.00134614594683,0.0384750336838,-0.0040907775875,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008910427633577,762,1450008910427254071,/world,trajectory,779,1,0,0.00133441969385,0.0384941282736,-0.00409197312852,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008912884945506,763,1450008912884324778,/world,trajectory,780,1,0,0.00135494898374,0.0384969887773,-0.00409052349009,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008925744249780,764,1450008925732007307,/world,trajectory,781,1,0,0.00133019813284,0.0385416614134,-0.00410167929358,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008928764486716,765,1450008928763602855,/world,trajectory,782,1,0,0.00128142017149,0.0385572224359,-0.00410710948204,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008931371507307,766,1450008931371234698,/world,trajectory,783,1,0,0.00126329522963,0.0386003724813,-0.004212117707,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008932259817567,767,1450008932259132682,/world,trajectory,784,1,0,0.00127807011735,0.0386084139841,-0.00412533529265,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008933571989326,768,1450008933571652609,/world,trajectory,785,1,0,0.00130238386644,0.0386014936684,-0.00411352456873,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008934950990411,769,1450008934948912066,/world,trajectory,786,1,0,0.00131514214882,0.0385560055072,-0.00415157742018,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008950048960110,770,1450008950048569393,/world,trajectory,787,1,0,0.00134715592321,0.0385556920241,-0.0042648479534,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008951360397212,771,1450008951360163880,/world,trajectory,788,1,0,0.00131463689012,0.038575208933,-0.00415965506126,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008953134050989,772,1450008953133756608,/world,trajectory,789,1,0,0.00128487029184,0.0385667213048,-0.00416377418922,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008957627829013,773,1450008957626956576,/world,trajectory,790,1,0,0.00131519616758,0.0386013028839,-0.0043441039277,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008984295007929,774,1450008984294935344,/world,trajectory,791,1,0,0.00129999795927,0.0386256129775,-0.00423124342874,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008984778890228,775,1450008984778666412,/world,trajectory,792,1,0,0.00128183234941,0.03870338673,-0.00423211182583,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008986034132296,776,1450008986034045704,/world,trajectory,793,1,0,0.0013567369297,0.0386235871849,-0.00431015454204,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008986980266429,777,1450008986979907868,/world,trajectory,794,1,0,0.00131241276928,0.0388776036054,-0.00420865966711,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008989389697930,778,1450008989389463325,/world,trajectory,795,1,0,0.00131753638884,0.0389633128486,-0.0040220626079,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008995878118995,779,1450008995877925805,/world,trajectory,796,1,0,0.00140468206164,0.0392354226134,-0.00433236388293,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008997030298294,780,1450008997027413246,/world,trajectory,797,1,0,0.00131225523682,0.0394109123552,-0.00411106974968,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008997761970118,781,1450008997760645193,/world,trajectory,798,1,0,0.00131305454448,0.0397397430792,-0.0043283812554,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008998332261013,782,1450008998330657892,/world,trajectory,799,1,0,0.00137692261509,0.0402315662337,-0.00440272879015,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008999191941024,783,1450008999191368636,/world,trajectory,800,1,0,0.00139516511565,0.0403900038984,-0.00436594946308,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008999547148621,784,1450008999546797245,/world,trajectory,801,1,0,0.001400993707,0.0407675624303,-0.00452752560942,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450008999915361671,785,1450008999914720095,/world,trajectory,802,1,0,0.00136211383706,0.0410035236884,-0.00450720721448,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450009000269476464,786,1450009000268797556,/world,trajectory,803,1,0,0.00127886878791,0.0412879755395,-0.00446861472147,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450009000618733366,787,1450009000617210656,/world,trajectory,804,1,0,0.00137968889358,0.0414053331702,-0.00460967473303,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450009000755252019,788,1450009000754782611,/world,trajectory,805,1,0,0.00127509168637,0.041763769723,-0.00440704060091,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450009000897631912,789,1450009000897265864,/world,trajectory,806,1,0,0.00131369867491,0.0419590351638,-0.00462626169504,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
1450009001062778856,790,1450009001062480109,/world,trajectory,807,1,0,0.00133332454184,0.0421770343458,-0.00467490035224,0.0,0.0,0.0,0.0,0.006,0.006,0.006,0.0,0.0,0.5,1.0,0,0,,,0
