%time,field.header.seq,field.header.stamp,field.header.frame_id,field.ns,field.id,field.type,field.action,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w,field.scale.x,field.scale.y,field.scale.z,field.color.r,field.color.g,field.color.b,field.color.a,field.lifetime,field.frame_locked,field.text,field.mesh_resource,field.mesh_use_embedded_materials
1450008892044841020,945,1450008891887610051,/camera1,basic_shapes,8,1,0,-0.092134828296,0.0472555438148,0.618822359577,0.00537218290774,0.998731032085,-0.0441546731747,-0.0236184258198,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892148127638,946,1450008891990450673,/camera1,basic_shapes,8,1,0,-0.0920121348684,0.0471699726066,0.61794391595,0.00770250698586,0.997975870927,-0.0560263762202,-0.0290839749976,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892244371616,947,1450008892042086577,/camera1,basic_shapes,8,1,0,-0.0917479696117,0.0469504155335,0.61611802689,0.00600376198003,0.998385553395,-0.045100907608,-0.0340022021033,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892344875883,948,1450008892153843211,/camera1,basic_shapes,8,1,0,-0.0919520216815,0.0471106337597,0.617565344196,0.00343639356297,0.999107787383,-0.0328134109422,-0.0263647577788,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892445068260,949,1450008892361637097,/camera1,basic_shapes,8,1,0,-0.0920470779264,0.0471704083706,0.618133481852,0.00485530467841,0.998582747432,-0.0471503318526,-0.0242026600571,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892542452064,950,1450008892396703248,/camera1,basic_shapes,8,1,0,-0.0919479535171,0.0471072750088,0.61751695619,0.0054460395406,0.998637031135,-0.0433673095468,-0.0285253774942,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892647789187,951,1450008892552898372,/camera1,basic_shapes,8,1,0,-0.0919987126908,0.0471590438417,0.617850540503,0.00767894089435,0.997980307574,-0.0557866081211,-0.0293971752839,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892745114324,952,1450008892602369568,/camera1,basic_shapes,8,1,0,-0.0922347079116,0.0473395622573,0.619509421676,0.00642949363621,0.998445541912,-0.0507617129741,-0.0220999987186,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892845116608,953,1450008892703693564,/camera1,basic_shapes,8,1,0,-0.0920380512303,0.0471783011167,0.618147812523,0.00523586664518,0.998731666826,-0.0427950103874,-0.0260044316551,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008892950657330,954,1450008892808802882,/camera1,basic_shapes,8,1,0,-0.092046527341,0.0471911158697,0.618191991752,0.00678138055149,0.998288623921,-0.0512443632417,-0.0273468730319,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893041519694,955,1450008892903258290,/camera1,basic_shapes,8,1,0,-0.0919687843544,0.0471105947767,0.617581177727,0.00540456329953,0.998397640262,-0.0495383104341,-0.0268122810209,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893154377188,956,1450008893052639531,/camera1,basic_shapes,8,1,0,-0.0919131761086,0.0470724084313,0.617183513449,0.00641222053912,0.998064436484,-0.0545342905212,-0.0291937529372,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893246485587,957,1450008893095093459,/camera1,basic_shapes,8,1,0,-0.0920632188963,0.0472046804354,0.618308075059,0.00682181398764,0.998280840509,-0.0515935426934,-0.0269616890937,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893347901288,958,1450008893209718035,/camera1,basic_shapes,8,1,0,-0.0920640766291,0.0471996494225,0.618350349706,0.00325928570066,0.999200277588,-0.0324010927517,-0.0232024031674,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893448833817,959,1450008893363409215,/camera1,basic_shapes,8,1,0,-0.09201318062,0.0471624836913,0.617962950124,0.00639557903525,0.998395988556,-0.0488964714627,-0.0278151340567,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893548873863,960,1450008893457944633,/camera1,basic_shapes,8,1,0,-0.0920993863816,0.0472351493272,0.61855817684,0.00706784963622,0.99821109399,-0.0532364726251,-0.0262780387306,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893643739689,961,1450008893500457882,/camera1,basic_shapes,8,1,0,-0.0918729728055,0.0470519434974,0.61698355298,0.00660092730969,0.99827837402,-0.0490291281957,-0.0315096859946,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893740961123,962,1450008893596433890,/camera1,basic_shapes,8,1,0,-0.0919649780866,0.0471215836304,0.617632888966,0.00574133835812,0.998564874959,-0.0450479344376,-0.0283885740357,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893846872674,963,1450008893754667386,/camera1,basic_shapes,8,1,0,-0.0920179074162,0.0471618802636,0.618009767751,0.00497812587789,0.998789666714,-0.0412908759627,-0.0262580176568,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008893941864747,964,1450008893793681068,/camera1,basic_shapes,8,1,0,-0.0919624553655,0.0471370327865,0.617591229492,0.00848303675472,0.997687178088,-0.0598904922157,-0.0310074460151,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008894042204523,965,1450008893955028516,/camera1,basic_shapes,8,1,0,-0.0919961169905,0.0471299380369,0.617777637995,0.00485241076027,0.998567249893,-0.046767613513,-0.025547835065,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008894165485410,966,1450008893998836766,/camera1,basic_shapes,8,1,0,-0.0920156418766,0.0471597073783,0.617999206675,0.00446144844466,0.998915217513,-0.0385235187562,-0.0257763884596,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008894244880339,967,1450008894160943524,/camera1,basic_shapes,8,1,0,-0.0918899016385,0.0470752569395,0.617089033438,0.00807738058797,0.997810608896,-0.0570718641844,-0.0324275656843,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008894347468281,968,1450008894201539358,/camera1,basic_shapes,8,1,0,-0.091779136301,0.046985750864,0.616318923614,0.00794248672668,0.997815034172,-0.0554884755154,-0.0349728976586,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
1450008894456046426,969,1450008894302863732,/camera1,basic_shapes,8,1,0,-0.0920152435654,0.0471700228997,0.617968383973,0.00738052853345,0.998085454285,-0.0542843355149,-0.0287082681611,0.044,0.044,0.0088,0.5,0.0,0.5,1.0,1000000000,0,,,0
